name
180 Degrees Consulting
Accounting and Taxation Society
Actuarial Society
Adventist Students on Campus
Adventure Society
Advertising & Public Relations Society
Aerospace Society
African Students Union
AgriCycle UNSW
AhlulBayt Islamic Society UNSW
AIESEC
Albury Wodonga Medical Students' Society
Allied Health Society UNSW
Alt Protein Project
Alternative Fashion Society
Alternative Investment Society
Ancient Languages & Culture Society
Anime UNSW
Anjali Tamil Society
Antique Society
Arab Society
Arc Canberra
Arc Clubs Team
Arc Sport Test
Artificial Intelligence Society
Arts, Design & Architecture Society
Asia Australia Youth Association UNSW
Asian Medical Students' Association
Asian Studies Association
Association of Population Health
Assyrian Students' Association
Astronomy and Stargazing Society
AtomCraft Society
Australasian Union of Jewish Students
Australia Awards Scholars Society
Australia China Youth Association
Australia-Japan Career Society
Australian Wall Street at UNSW
Australian Youth Climate Coalition (AYCC)
Barbell Club
Barrels and Beyond
Basser College
Beverage Society
Bioinformatics Society
Biomedical Engineering Students' Society
Biotechnology and Biomolecular Sciences Society
Birds Observation Club
BITSA UNSW
Bluesat
Boba Society UNSW
Bonding Society
Bowling Society
Boys and Girls Love Media Society
Brawl Stars Society
Built Environment Student Association
Business Analytics Society
Business Society
Business Sustainability and Social Impact Society
BusinessONE UNSW
Calisthenics Society
Cambodian Society
Campus Runners
Cantonese Christian Fellowship
Capital Markets Association
Car Society
Cardiology Society
Catholic Society
Chem E Car
Chinese Creative Arts Club
Chinese Debating Club
Chinese Musician Society
Chinese Student Association
Christian Union
Civil & Environmental Engineering Research Society
Civil and Environmental Engineering Society
Civil and Environmental Postgraduate Council
Clash Royale Society
Co-op Society
Cocktail Society
Coffs Harbour Undergraduate Medical Society
Coin Society
Collectibles Club
Colombo House Residents Club
Commerce (International) Society
Comp Club
Compassion UNSW
Competitive Programming and Mathematics Society
Computer Engineering Society
Computer Graphics Society
Computer Science and Engineering Revue Society
Connect Society
Coptic Society
Craft Society
CREATE NSW Inc.
Creston College Student Society
Criminology Society
CSE Society
CueSports Society
D2MG Hip Hop Society
Daily Delight Disrupt
Data Science Society
Debating Society
Defence Technologies Society
Design Society UNSW
Dessert and Street Food Society
Diabolo Club
Disability Inclusion and Accessibility Society
Dodgeball UNSW
Dog Appreciation Society
Drawing Society
E-Commerce Society
Economics Society
Education Society
Electrical Engineering & Telecommunications Society
EMU Robotics
Enactus UNSW
Engineering Project and Innovation Society
Engineers Without Borders UNSW
English & Creative Writing Society
Enrich Mandarin Bible Study
Entrepreneurs' Society
Environmental Management Club
Esoteric Society
ESports Club
Exchange Society
Exotic Beer Society
Faculty of Engineering Student Society
Femboy Society
Fig Tree Hall College
Fighting Games Society UNSW
Filipino Students' Society
Film Production Society
Finance and Banking Society
Financial Management Association of Australia
Financial Planning Student Group
Financial Technology Society
First Nations Engineering and Science Society
Fred Hollows Society
French Society
Froyo Society
Furry Society
Game Making Society
Game Theory Society
General Practice Students' Network UNSW
Geoguessr Society
Geoscience Society
Goldstein College
Greens on Campus UNSW
H2 Engineering UNSW
Health Science Student Association
Hillsong On Campus UNSW society
History Society
Hong Kong and Macau Medical Society
Hoyoverse Society
Ice Hockey Appreciation Society
Indonesian Students Association
International House Residents' Society
International Law Students Society
International Psychology Students Association
International Students Association
Investing for Charity
Iranian Student Association
ISOC Students
Jam In A Jar Charity Concert
Journal Society
Kabaddi Society
Kannada Society
KDrama Society
Labor Club
Latin Dance Society UNSW
Law Society
Left Students Society
Legends of the Three Kingdoms
Liberal Club
Linux Society
Lion Dance Club
Little Sister, Big Sister
lo-fi society
Lynx Racing UNSW
Magic and Cardistry Society
Malaysian Students' Organisation
Marketing Analytics Society
Marketing Society
Masters of International Business Society
Matcha Society
Materials Science and Engineering Postgraduate Society
Materials Science and Engineering Society
Mathematics Society
Mature Age Students Society
Mechanical Keyboards Society
Media Society
Medical Outreachers Australia
Medical Science Society
Medical Society
Medical Students' Aid Project
Medshow UNSW
Mending Broken Hearts
MEREly Researchers
Minecraft Society
Minerals and Energy Resources Engineering Society
Ministry of Dance Society
Motorcycle Society
Music Society of UNSW
Musical Theatre Society
Myanmar Students' Society
Neuroscience Society
New College Student Association
New South Wales Uni Theatrical Society
